size_sqft,bedrooms,bathrooms,age_years,garage,floors,pool,distance_km,price
3093.764513985747,1,3,16,0,1,0,20.62,262962.22
2245.4950967725545,1,1,14,0,3,0,17.28,185932.55
3392.4764903973737,6,4,15,1,3,1,24.47,467980.8
3322.743640454085,3,3,10,0,2,0,3.69,357286.77
977.1938696505097,3,3,3,1,3,0,29.22,148141.72
3834.67819058668,5,3,37,0,3,0,2.33,432422.41
1488.8032750410327,3,1,15,0,2,1,14.15,188642.85
1985.5557308873338,6,3,45,0,3,0,16.49,248943.96
1554.7626080905623,4,4,18,0,3,1,25.44,230143.76
725.1909512257473,3,4,18,0,1,1,7.17,150240.88
2547.0019120198813,6,4,10,1,1,0,22.6,318944.36
2270.8919264488604,5,4,24,0,1,1,3.64,315496.02
783.7538641564648,1,2,41,0,3,1,18.3,65740.83
2425.3945623602413,3,1,44,0,3,1,23.29,237886.25
1926.6843448210764,3,4,11,1,1,1,29.18,250043.09
1015.0022089110494,6,3,41,0,1,1,23.11,158890.22
2703.5782174665405,5,1,39,1,2,0,4.24,288140.87
3746.421738708802,2,1,16,0,1,1,24.66,351973.62
4414.139525341603,5,2,9,1,3,0,8.69,503340.16
1426.01300122412,5,2,46,1,2,1,13.7,213708.39
2618.5457800388035,1,2,15,0,2,0,18.06,222792.39
876.8730354352269,6,1,15,0,1,1,3.05,211648.46
1528.2180740390813,6,4,14,0,3,1,8.05,282057.42
967.8706063183406,6,4,23,1,2,1,26.05,231429.2
811.267630205465,6,1,4,1,3,1,24.22,216277.04
2691.514440250343,2,4,12,1,2,0,26.36,288274.27
894.0010646597285,5,1,4,0,1,0,5.82,157078.33
2164.057140942865,1,2,25,0,2,1,27.87,181397.57
3662.004491497074,3,4,45,1,1,0,9.6,389527.71
2714.5612853596695,6,3,4,0,3,1,15.58,371660.93
3925.607578988313,2,1,33,0,1,0,18.26,302513.86
1067.5577943937842,5,2,38,0,3,0,13.16,155726.91
2876.3219282357763,5,3,17,0,3,1,7.92,354789.06
1769.9886112151726,3,1,1,1,3,0,3.12,263708.94
1431.3018178414577,3,2,23,0,1,1,9.26,167748.85
1779.8168576176706,6,1,43,1,3,0,28.23,228984.38
1123.735346134134,1,1,48,0,2,1,18.54,79281.21
3073.528039651811,3,4,17,0,1,1,25.05,307577.73
771.9383710162952,3,2,41,1,1,1,17.0,125378.44
893.4510542876915,6,2,35,0,2,0,13.46,164658.95
763.1325468585455,3,1,23,0,3,0,20.34,82084.46
4011.3796218102557,5,2,16,0,1,1,1.72,462698.79
3472.60143984482,3,4,43,0,2,0,23.83,337880.18
3948.5136802173483,2,2,30,1,2,0,7.46,395556.04
3174.129412719653,4,3,18,0,2,1,19.6,314295.28
2691.241356667015,1,1,17,0,3,1,2.11,297119.1
2926.627894452204,3,3,28,0,2,0,8.39,299610.22
4209.743145446422,5,2,24,1,1,1,19.07,449007.07
3187.2111574356227,1,3,33,1,3,1,10.46,325239.16
1348.1763626615752,6,4,44,0,3,1,12.78,229224.06
3851.528160285824,3,3,14,1,3,1,14.48,420727.86
2445.4261250463724,6,2,43,0,2,1,3.71,323956.69
4312.798683564653,2,3,15,0,1,0,2.34,427826.88
3597.1084221007677,4,4,41,0,3,1,15.34,387184.45
1551.5393143559115,6,1,49,0,2,0,6.1,222534.66
795.8517020484996,2,1,30,0,2,1,28.55,66545.59
4076.5611106607043,5,4,36,1,1,1,14.05,461751.76
1681.514277209888,5,4,41,0,2,1,3.25,239068.09
1714.3397883662947,3,3,21,0,1,0,7.71,194274.62
850.4925177841245,4,3,35,1,2,0,7.0,150899.52
2238.55971931636,5,1,49,1,2,0,28.34,222488.84
4077.402013677197,4,2,32,0,2,1,15.08,418465.22
2116.5430926598992,6,4,47,0,2,0,29.44,214090.65
2908.381824948852,6,1,6,1,1,1,6.27,384029.49
1614.6096242852884,3,2,30,1,2,1,9.07,241807.17
3856.1525681572725,4,1,48,0,2,0,19.85,324817.64
3646.80889348249,6,1,49,0,1,0,25.34,322028.19
2446.8881376898994,1,2,30,1,2,0,18.57,210675.22
4358.5655019947135,6,1,50,0,2,0,17.78,425393.57
4141.301989085034,4,4,46,0,1,0,3.96,402296.75
3612.6754513097735,6,1,37,0,2,1,20.18,397043.65
649.3433856468271,4,4,7,1,2,1,21.51,199020.8
2298.39986552994,6,3,40,1,2,1,24.95,298908.4
1557.4311594653943,1,3,29,0,2,1,10.76,163871.89
2527.795364102096,3,2,32,0,2,1,10.87,286885.55
1677.4474454491212,1,2,6,0,3,1,15.17,173566.35
3556.842148581619,6,4,42,1,2,0,3.7,441175.38
1794.2035175073447,5,3,31,1,2,1,11.2,307120.03
2369.6065251273963,3,3,15,0,3,0,10.15,270150.32
