freq_free,freq_money,freq_click,freq_excl,freq_dollar,cap_run_len,cap_total,num_links,has_html,msg_len,is_spam
0.9564,0.2745,0.5,0.3072,0.0374,13.18,59.59,4,0,0.6929,1
0.8425,0.5636,0.6602,0.0142,0.0182,13.19,58.1,6,1,0.6563,1
0.0303,0.889,0.4365,0.321,0.1208,5.65,80.93,12,1,0.5082,1
0.4156,0.4644,0.2722,0.0718,0.3446,7.07,98.81,11,1,0.2177,1
0.3705,0.5617,0.2553,0.2332,0.107,5.71,10.58,9,1,0.8777,1
0.9023,0.8135,0.747,0.3606,0.0759,4.03,99.6,14,1,0.8912,1
0.4974,0.09,0.3146,0.2286,0.0963,12.08,5.82,9,1,0.6378,1
0.2857,0.0082,0.086,0.067,0.1058,7.95,40.92,1,1,0.146,1
0.5618,0.3625,0.2309,0.1932,0.1801,11.45,82.71,3,0,0.9776,1
0.3391,0.9389,0.604,0.0995,0.2036,10.5,5.49,4,1,0.8236,1
0.5193,0.1489,0.7145,0.0699,0.3725,7.05,39.9,9,1,0.5566,1
0.5629,0.4749,0.0133,0.1656,0.0438,8.91,31.46,0,1,0.339,1
0.6556,0.9721,0.4628,0.1138,0.0205,10.13,52.9,12,0,0.8395,1
0.7005,0.1908,0.3528,0.2094,0.1652,4.87,50.68,15,0,0.7352,1
0.5187,0.5609,0.7985,0.2392,0.1507,19.18,46.51,10,1,0.7083,1
0.8037,0.2644,0.3873,0.4787,0.1116,6.67,94.21,9,1,0.7344,1
0.6902,0.489,0.3838,0.2802,0.3738,14.71,29.49,12,1,0.8365,1
0.2905,0.2876,0.5713,0.1732,0.177,5.87,48.43,6,1,0.9397,1
0.6962,0.1373,0.4925,0.2934,0.097,13.73,53.57,7,0,0.1902,1
0.6812,0.1375,0.7716,0.489,0.0632,13.4,88.18,15,1,0.6855,1
0.7559,0.2872,0.2283,0.0296,0.3075,13.39,23.99,1,0,0.4761,1
0.0363,0.8362,0.6304,0.0932,0.2996,17.57,29.66,1,0,0.3686,1
0.6028,0.9285,0.268,0.2272,0.2565,10.96,89.04,4,1,0.3456,1
0.7311,0.6483,0.5749,0.007,0.1348,6.61,67.77,6,0,0.6499,1
0.6387,0.4055,0.3422,0.164,0.1603,2.81,98.19,15,1,0.9422,1
0.4467,0.267,0.2637,0.2912,0.2292,5.97,36.6,7,0,0.701,1
0.4654,0.1597,0.5489,0.4616,0.3551,15.63,69.34,9,1,0.6532,1
0.1532,0.7477,0.4846,0.2079,0.2197,9.95,54.21,6,0,0.7123,1
0.5958,0.7874,0.4204,0.2641,0.1447,18.43,12.11,6,0,0.2481,1
0.6803,0.7169,0.3911,0.4494,0.1782,2.06,14.06,13,1,0.6075,1
0.5588,0.6728,0.2465,0.0109,0.1018,1.06,22.57,2,0,0.4813,1
0.0603,0.8942,0.7889,0.236,0.1148,4.42,14.41,13,1,0.9936,1
0.3825,0.8696,0.7254,0.1878,0.2731,13.57,54.39,11,0,0.2606,1
0.7279,0.2227,0.0028,0.0114,0.1193,13.8,54.9,12,0,0.3228,1
0.3462,0.2756,0.7499,0.3625,0.0451,16.38,42.5,0,0,0.2855,1
0.5978,0.7033,0.0389,0.3703,0.1609,5.45,22.51,1,0,0.5535,1
0.2893,0.8158,0.5852,0.1595,0.2392,13.78,32.75,9,0,0.9871,1
0.2752,0.5567,0.4733,0.3676,0.0701,13.9,56.03,1,1,0.9474,1
0.6713,0.7858,0.255,0.2082,0.0597,8.15,75.69,15,0,0.8644,1
0.8058,0.9147,0.4499,0.4839,0.2229,3.55,25.04,6,1,0.682,1
0.9222,0.8471,0.074,0.3623,0.0762,6.1,67.69,1,0,0.2693,1
0.5589,0.4794,0.6956,0.1665,0.3828,1.29,93.78,3,1,0.923,1
0.6956,0.7038,0.3173,0.1197,0.1286,6.38,47.16,11,1,0.3354,1
0.0986,0.9813,0.3756,0.4199,0.3657,8.04,41.98,7,0,0.1146,1
0.5533,0.584,0.576,0.1476,0.0785,5.37,57.41,7,1,0.5956,1
0.7634,0.4886,0.5788,0.3698,0.1843,14.92,35.87,4,1,0.2656,1
0.8894,0.9903,0.7658,0.262,0.3356,2.41,81.98,1,0,0.4712,1
0.7072,0.0091,0.4046,0.1866,0.2471,13.67,62.04,15,1,0.1142,1
0.5322,0.4113,0.0134,0.3611,0.2143,6.45,50.72,13,0,0.1963,1
0.1919,0.5265,0.6522,0.1337,0.1588,8.09,41.2,7,0,0.37,1
0.8281,0.0806,0.7933,0.3249,0.0127,8.7,38.34,15,0,0.6731,1
0.8453,0.6449,0.265,0.4887,0.3895,18.0,92.0,7,0,0.9111,1
0.6923,0.5668,0.2169,0.4621,0.2738,6.33,54.76,1,0,0.9359,1
0.587,0.7523,0.5702,0.1991,0.0308,4.09,24.81,12,1,0.4455,1
0.7397,0.7905,0.5514,0.0392,0.2982,7.57,10.67,7,0,0.4065,1
0.3967,0.7736,0.0237,0.1367,0.397,10.32,36.23,12,1,0.2672,1
0.5859,0.3801,0.6177,0.1477,0.0986,2.4,27.53,12,0,0.7657,1
0.0052,0.3083,0.2879,0.1349,0.053,4.56,45.44,13,0,0.1236,1
0.3539,0.0931,0.4784,0.1622,0.1541,6.55,39.39,2,0,0.6148,1
0.1388,0.3011,0.3945,0.0316,0.1739,9.0,48.94,2,1,0.3265,1
0.2466,0.625,0.475,0.0978,0.0428,6.79,94.93,10,1,0.8237,1
0.8155,0.8595,0.7794,0.0681,0.1283,19.0,20.88,10,0,0.9681,1
0.9687,0.2914,0.556,0.2455,0.2304,5.61,38.23,12,1,0.2025,1
0.5456,0.6817,0.4401,0.4765,0.1846,14.46,44.41,9,0,0.8371,1
0.7957,0.4091,0.3994,0.3167,0.0968,13.51,71.81,12,0,0.5042,1
0.5344,0.9235,0.6957,0.2092,0.0147,19.4,70.46,2,0,0.7921,1
0.6576,0.355,0.5176,0.0221,0.3934,13.87,40.56,10,1,0.1954,1
0.7469,0.558,0.5501,0.1105,0.1496,9.8,68.28,4,1,0.9979,1
0.4828,0.2954,0.7364,0.0429,0.3325,14.87,35.48,10,1,0.8058,1
0.0976,0.722,0.362,0.0336,0.0179,14.5,3.24,10,0,0.7094,1
0.1644,0.9839,0.1951,0.0872,0.0641,11.64,95.89,7,1,0.6668,1
0.3956,0.7374,0.7065,0.2248,0.1718,1.08,22.26,8,0,0.6196,1
0.7995,0.5369,0.2926,0.0985,0.0456,13.74,49.46,10,1,0.6502,1
0.8455,0.6174,0.651,0.353,0.119,12.68,9.39,4,1,0.2061,1
0.3054,0.183,0.5547,0.2554,0.1673,3.62,38.99,5,1,0.672,1
0.9999,0.5549,0.3917,0.0701,0.1258,9.57,6.31,11,0,0.5361,1
0.1951,0.3839,0.4493,0.3265,0.1637,10.34,71.3,14,1,0.2505,1
0.2205,0.0327,0.1799,0.1443,0.3123,11.75,77.48,15,0,0.6154,1
0.2679,0.5431,0.7927,0.271,0.3027,15.44,44.7,6,1,0.1922,1
0.2977,0.9993,0.3598,0.1743,0.3267,9.34,99.4,7,0,0.8296,1
0.5879,0.3506,0.5686,0.3164,0.0664,3.65,21.46,6,0,0.6131,1
0.1684,0.979,0.2341,0.2864,0.381,10.77,90.12,3,0,0.9665,1
0.7857,0.9188,0.794,0.4335,0.0508,17.46,25.72,10,0,0.7853,1
0.5774,0.2687,0.3314,0.226,0.2535,17.72,10.22,8,1,0.5092,1
0.488,0.582,0.6951,0.4236,0.0373,19.47,63.85,11,0,0.8161,1
0.8248,0.4947,0.2583,0.1418,0.2189,3.48,85.39,10,0,0.1413,1
0.6262,0.8367,0.013,0.4647,0.0632,9.67,99.19,13,0,0.9961,1
0.3019,0.8744,0.7013,0.0467,0.1442,2.57,66.79,5,0,0.4567,1
0.3055,0.6994,0.1873,0.3277,0.2815,1.02,48.2,4,0,0.5675,1
0.3436,0.1206,0.6883,0.347,0.1911,5.35,9.84,3,0,0.382,1
0.881,0.1371,0.6188,0.3766,0.0533,19.87,15.14,0,0,0.4961,1
0.1514,0.4117,0.5493,0.43,0.0347,2.91,75.49,12,1,0.9669,1
0.3145,0.1398,0.2216,0.0421,0.2214,12.4,61.15,0,1,0.2849,1
0.3918,0.6462,0.627,0.3969,0.0957,8.33,24.87,2,0,0.9882,1
0.9339,0.132,0.6887,0.2842,0.1462,13.98,76.51,2,0,0.6286,1
0.9226,0.9487,0.3184,0.1432,0.2851,15.58,42.93,12,0,0.6765,1
0.5377,0.1527,0.0669,0.0395,0.3684,19.51,16.38,10,1,0.6278,1
0.6432,0.3102,0.35,0.4767,0.0955,5.65,92.54,3,1,0.6511,1
0.055,0.6661,0.5264,0.0878,0.0051,3.61,2.12,15,1,0.5707,1
0.167,0.1269,0.6249,0.1344,0.3546,15.66,3.91,13,1,0.5715,1
0.2629,0.9751,0.502,0.2481,0.2043,2.05,86.08,5,1,0.2416,1
0.6741,0.1153,0.5926,0.0013,0.3435,1.23,5.55,11,1,0.9282,1
0.179,0.9603,0.0283,0.4016,0.2856,13.46,23.23,7,1,0.9243,1
0.5715,0.1194,0.5387,0.0263,0.0893,10.8,5.55,12,0,0.8893,1
0.866,0.7735,0.2486,0.0432,0.1827,8.01,29.87,9,0,0.5175,1
0.7726,0.1954,0.7204,0.3802,0.0981,1.12,41.59,7,1,0.6723,1
0.6935,0.0096,0.268,0.3795,0.1505,15.02,31.44,6,0,0.4778,1
0.1424,0.2798,0.0351,0.1157,0.3382,8.85,89.66,14,0,0.6227,1
0.5054,0.6372,0.3155,0.2959,0.0249,13.59,13.94,9,1,0.8658,1
0.8319,0.3263,0.3622,0.1168,0.3774,3.59,77.24,3,0,0.1951,1
0.4496,0.314,0.0966,0.1791,0.3081,9.59,46.87,3,0,0.2419,1
0.6969,0.0403,0.6687,0.1639,0.0365,5.72,36.22,1,1,0.3342,1
0.9907,0.0311,0.3235,0.2261,0.2992,5.75,46.74,4,0,0.1108,1
0.1307,0.8237,0.2978,0.3151,0.2579,12.06,26.62,2,0,0.9974,1
0.1978,0.646,0.6474,0.046,0.3389,16.37,13.13,14,0,0.2512,1
0.395,0.0295,0.5466,0.0864,0.0859,4.56,28.71,4,0,0.6527,1
0.617,0.6473,0.3991,0.4414,0.1916,2.67,38.92,13,0,0.6784,1
0.9941,0.5437,0.0156,0.1912,0.2853,10.11,78.36,11,1,0.4495,1
0.1798,0.3189,0.1752,0.4479,0.3114,2.11,99.16,11,0,0.9766,1
0.2665,0.8163,0.7338,0.028,0.3986,5.17,84.8,12,1,0.9417,1
0.9915,0.1737,0.1892,0.159,0.2952,7.82,59.56,11,0,0.6068,1
0.8816,0.4922,0.2472,0.2452,0.0361,5.42,22.66,15,0,0.3986,1
0.6141,0.8064,0.2726,0.0887,0.321,17.5,6.9,4,0,0.7969,1
0.9606,0.3736,0.7535,0.1978,0.0404,6.73,14.51,5,1,0.8127,1
0.9607,0.6492,0.1394,0.4844,0.2774,18.65,78.91,7,0,0.4405,1
0.1777,0.0018,0.5616,0.2864,0.3403,15.65,57.18,5,1,0.9289,1
0.9675,0.2209,0.4524,0.4683,0.0563,15.16,24.56,10,0,0.6726,1
0.67,0.7293,0.2686,0.0057,0.0839,14.17,35.7,3,0,0.1433,1
0.4382,0.4197,0.1331,0.207,0.3527,7.67,38.16,15,0,0.2464,1
0.2949,0.3187,0.7613,0.0371,0.068,8.13,73.47,2,1,0.6346,1
0.6136,0.4827,0.0248,0.4712,0.066,17.91,16.55,3,1,0.285,1
0.722,0.73,0.2122,0.1408,0.095,1.94,57.61,15,0,0.1491,1
0.0038,0.0876,0.6591,0.3125,0.1921,2.84,21.49,9,0,0.5262,1
0.4709,0.8949,0.212,0.3209,0.155,8.05,38.76,5,1,0.1402,1
0.4397,0.2634,0.6697,0.2821,0.0605,14.23,10.57,11,1,0.9736,1
0.8408,0.8184,0.3349,0.2678,0.3468,10.02,88.28,15,1,0.1711,1
0.9028,0.7143,0.4017,0.4502,0.3202,13.87,62.41,3,1,0.2556,1
0.8085,0.1262,0.3387,0.4941,0.1742,19.95,63.1,8,1,0.9197,1
0.9142,0.067,0.3105,0.1987,0.1305,6.25,46.36,0,1,0.2013,1
0.5827,0.9648,0.0802,0.0528,0.3118,15.93,86.88,11,1,0.3377,1
0.6548,0.572,0.3784,0.0861,0.1612,12.75,68.4,12,0,0.4562,1
0.0493,0.4752,0.2149,0.1862,0.1351,16.08,31.78,15,0,0.9752,1
0.228,0.3005,0.595,0.387,0.1283,14.85,60.89,2,0,0.4975,1
0.4845,0.5165,0.2991,0.0281,0.3166,2.25,71.25,12,0,0.8025,1
0.5243,0.5687,0.139,0.4376,0.0803,2.09,4.27,1,1,0.7342,1
0.5051,0.6354,0.0991,0.0153,0.149,12.29,18.58,15,1,0.4098,1
0.8377,0.2587,0.6647,0.0452,0.011,1.94,85.53,6,0,0.6826,1
0.4095,0.0201,0.6242,0.3838,0.0036,18.32,65.09,0,0,0.3272,1
0.8051,0.3055,0.7736,0.3214,0.1695,8.15,35.52,8,0,0.52,1
0.3972,0.1023,0.4092,0.3312,0.3373,8.11,65.09,9,1,0.716,1
0.4817,0.3363,0.2212,0.1626,0.1108,13.47,95.27,9,0,0.2349,1
0.8054,0.8024,0.48,0.3303,0.2723,14.7,65.88,9,1,0.9162,1
0.4046,0.7367,0.4664,0.4974,0.3264,7.52,71.62,15,1,0.5566,1
0.8765,0.1811,0.0781,0.064,0.1035,16.36,76.53,5,1,0.689,1
0.2223,0.2233,0.6971,0.2102,0.3547,8.06,58.97,14,0,0.5235,1
